eta,delta,scale,T,alpha,mixing_time,mass,mean,second_moment,mse,normalized_budget,normalized_mse
0.4,0.2,1.0,25600,0.003964994801642474,10,1.0,1.000000000000094,1.0136273362573303,0.013627336257142408,4096,5.499058410466464
0.4,0.2,1.0,51200,0.002117873894938841,11,1.0,0.99999999999989,1.00724854885734,0.007248548857559989,8192,5.476094775903028
0.4,0.2,1.0,102400,0.001126626148160631,12,1.0,1.0000000000004592,1.003847322930669,0.0038473229297506517,16384,5.463850362119751
0.4,0.2,1.0,204800,0.0005971579128392612,14,1.0,0.9999999999997881,1.0020368058035116,0.002036805803935504,32768,5.457332501552252
0.28,0.14,1.0,52245,0.002970542256093583,16,1.0,0.9999999999997858,1.0120080593989513,0.012008059399379656,4096,4.52746514536756
0.28,0.14,1.0,104490,0.001580035850631799,18,1.0,0.999999999999964,1.0063622545094482,0.006362254509520104,8192,4.509850233976145
0.28,0.14,1.0,208980,0.0008374006137103725,20,1.0,0.9999999999994168,1.0033649288123256,0.0033649288134920408,16384,4.500498577870106
0.28,0.14,1.0,417960,0.00044239173282879546,22,1.0,0.9999999999989861,1.0017757051942444,0.001775705196272126,32768,4.495540201684641
0.2,0.1,1.0,102400,0.002253252296321262,25,1.0,0.9999999999999678,1.0109299746427074,0.01092997464277179,4096,3.8806039290376666
0.2,0.1,1.0,204800,0.0011943158256785223,28,1.0,0.9999999999997881,1.0057717715242196,0.005771771524643476,8192,3.866160960474174
0.2,0.1,1.0,409600,0.0006310028708061868,30,1.0,1.0000000000001372,1.0030434227455265,0.0030434227452520446,16384,3.8585215834136335
0.2,0.1,1.0,819200,0.00033242394418871483,33,1.0,0.9999999999986945,1.001601653728015,0.0016016537306260403,32768,3.8544846329524147
0.14,0.07,1.0,208980,0.001674801227420745,38,1.0,1.0000000000003697,1.0101564748801535,0.010156474879414068,4096,3.3960005756808704
0.14,0.07,1.0,417960,0.0008847834656575909,43,1.0,1.0000000000007803,1.0053461240974702,0.005346124095909621,8192,3.3836860767784653
0.14,0.07,1.0,835919,0.00046608371637197216,47,1.0,0.9999999999956402,1.0028108141301038,0.0028108141388234475,16384,3.377195689207275
0.14,0.07,1.0,1671837,0.00024488775226601457,51,1.0,0.9999999999922534,1.001475351137883,0.0014753511533762698,32768,3.373776917161775
0.1,0.05,1.0,409600,0.0012620057416123736,57,1.0,0.9999999999992502,1.0096962138442491,0.009696213845748813,4096,3.073270913446293
0.1,0.05,1.0,819200,0.0006648478883774297,63,1.0,1.0000000000020373,1.0050897686839886,0.005089768679914064,8192,3.0622154443992984
0.1,0.05,1.0,1638400,0.0003493464678754566,69,1.0,1.0000000000040032,1.002669362013164,0.0026693620051574385,16384,3.056406462491073
0.1,0.05,1.0,3276800,0.00018313449950638436,76,1.0,1.0000000000080709,1.0013979366286456,0.0013979366125038695,32768,3.053355028728785
0.07,0.035,1.0,835919,0.0009321674327439443,87,1.0,1.0000000000024696,1.009426518068723,0.009426518063783806,4096,2.831492460630177
0.07,0.035,1.0,1671837,0.0004897755045320291,96,1.0,0.999999999998768,1.0049349283674416,0.004934928369905611,8192,2.8212516362855564
0.07,0.035,1.0,3343674,0.00025673352228661997,105,1.0,0.9999999999973194,1.0025819018562072,0.0025819018615684808,16384,2.8158867404626857
0.07,0.035,1.0,6687347,0.00013428966623476611,114,1.0,0.9999999999879449,1.0013491680293183,0.001349168053428551,32768,2.813076132750076
