d,T,T_eta_squared,normalized_checkpoint,eta1,a,c0,xi,tau_mix,feature_max_row_norm,theta_star_norm,r_max,mean_squared_parameter_error,standard_error,analytic_mean_error,empirical_mean_vs_analytic,finite
5,25,1.0000000000000004,1,0.20000000000000004,4.999999999999999,200.0,1.0,1,1.0,0.894427190999916,0.8,0.6466798084567107,0.007354497429547584,0.6320987654320993,0.007666944622649822,True
5,50,2.000000000000001,2,0.20000000000000004,4.999999999999999,200.0,1.0,1,1.0,0.894427190999916,0.8,0.5244387047008152,0.007895556608208423,0.5120000000000007,0.005709917368354756,True
5,100,4.000000000000002,4,0.20000000000000004,4.999999999999999,200.0,1.0,1,1.0,0.894427190999916,0.8,0.3681731846247909,0.007587960256101367,0.3555555555555566,0.008839663857841767,True
5,200,8.000000000000004,8,0.20000000000000004,4.999999999999999,200.0,1.0,1,1.0,0.894427190999916,0.8,0.21414682911070804,0.00556026465488191,0.2000000000000003,0.009141110863072299,True
5,400,16.000000000000007,16,0.20000000000000004,4.999999999999999,200.0,1.0,1,1.0,0.894427190999916,0.8,0.10182913630787849,0.004185408276377486,0.08888888888888939,0.010394153581296724,True
5,800,32.000000000000014,32,0.20000000000000004,4.999999999999999,200.0,1.0,1,1.0,0.894427190999916,0.8,0.04181151430339176,0.0022500488566122474,0.032000000000000195,0.009184756722311092,True
5,1600,64.00000000000003,64,0.20000000000000004,4.999999999999999,200.0,1.0,1,1.0,0.894427190999916,0.8,0.016587297964837565,0.0011396817479271833,0.009876543209876599,0.009580169251285945,True
10,100,1.0,1,0.1,10.0,200.0,1.0,1,1.0,0.9486832980505139,0.9,0.40923407417152946,0.012295959564664949,0.4000000000000011,0.019803441438066578,True
10,200,2.0,2,0.1,10.0,200.0,1.0,1,1.0,0.9486832980505139,0.9,0.24747291640649904,0.007872652799602604,0.22500000000000028,0.015953684871406817,True
10,400,4.0,4,0.1,10.0,200.0,1.0,1,1.0,0.9486832980505139,0.9,0.134626940052408,0.005096879093666198,0.10000000000000049,0.021869327436945227,True
10,800,8.0,8,0.1,10.0,200.0,1.0,1,1.0,0.9486832980505139,0.9,0.062487277773842775,0.002877273864127966,0.03600000000000025,0.015884666851296254,True
10,1600,16.0,16,0.1,10.0,200.0,1.0,1,1.0,0.9486832980505139,0.9,0.02869599675430381,0.0015590559719643345,0.011111111111111157,0.0142721570921911,True
10,3200,32.0,32,0.1,10.0,200.0,1.0,1,1.0,0.9486832980505139,0.9,0.012791404253553192,0.0007106289408322067,0.0031141868512111156,0.01003002575267567,True
10,6400,64.0,64,0.1,10.0,200.0,1.0,1,1.0,0.9486832980505139,0.9,0.006574133552344211,0.00038687041643575165,0.0008264462809917393,0.006787613463795833,True
20,400,1.0,1,0.05,20.0,200.0,1.0,1,1.0,0.9746794344808963,0.95,0.16584262764718127,0.006487392305517659,0.10555555555555607,0.028845987731190074,True
20,800,2.0,2,0.05,20.0,200.0,1.0,1,1.0,0.9746794344808963,0.95,0.08725666780276009,0.003109915266213327,0.038000000000000256,0.027523467167436918,True
20,1600,4.0,4,0.05,20.0,200.0,1.0,1,1.0,0.9746794344808963,0.95,0.044356415787520975,0.0017645145329667799,0.011728395061728463,0.014372599067910531,True
20,3200,8.0,8,0.05,20.0,200.0,1.0,1,1.0,0.9746794344808963,0.95,0.023768926726613786,0.0009118431653505315,0.003287197231833952,0.0185573397396776,True
20,6400,16.0,16,0.05,20.0,200.0,1.0,1,1.0,0.9746794344808963,0.95,0.013611594861044476,0.0005364247393787248,0.0008723599632690619,0.011493324468488482,True
20,12800,32.0,32,0.05,20.0,200.0,1.0,1,1.0,0.9746794344808963,0.95,0.007180716809982779,0.0002714198995389544,0.00022485207100591964,0.010770921433925376,True
20,25600,64.0,64,0.05,20.0,200.0,1.0,1,1.0,0.9746794344808963,0.95,0.0035670723158678923,0.00014972520181048124,5.7087915389698e-05,0.007424445259653702,True
40,1600,1.0,1,0.025,40.0,200.0,1.0,1,1.0,0.9874208829065748,0.975,0.0882203454077432,0.002673047712545414,0.012037037037037101,0.03689792445554048,True
40,3200,2.0,2,0.025,40.0,200.0,1.0,1,1.0,0.9874208829065748,0.975,0.04927476767109626,0.0014932045996387052,0.00337370242214537,0.0314721308682174,True
40,6400,4.0,4,0.025,40.0,200.0,1.0,1,1.0,0.9874208829065748,0.975,0.029447473288336662,0.0009278140380805371,0.0008953168044077201,0.02266834346341961,True
40,12800,8.0,8,0.025,40.0,200.0,1.0,1,1.0,0.9874208829065748,0.975,0.015477306845413088,0.00047023957925507816,0.00023076923076923122,0.017833165255126432,True
40,25600,16.0,16,0.025,40.0,200.0,1.0,1,1.0,0.9874208829065748,0.975,0.007699328575987426,0.00024257492623911824,5.859022895258515e-05,0.013806664203058087,True
40,51200,32.0,32,0.025,40.0,200.0,1.0,1,1.0,0.9874208829065748,0.975,0.0038869238463031986,0.00010059043137802241,1.47617677784674e-05,0.009062469884873381,True
40,102400,64.0,64,0.025,40.0,200.0,1.0,1,1.0,0.9874208829065748,0.975,0.0018910709079917327,4.683852536416172e-05,3.70484365559768e-06,0.0056152322660781235,True
