case,family,n,d,seed,eta1,eta3,sigma,lambda,eta1_minus_half_eta3,eta1_over_eta3
0,dense_positive,2,2,10000,0.0008257606864977161,0.0008728879174327509,0.000752764512877348,1.1595763382843942,0.0003893167277813407,0.9460099859399582
1,dense_positive,2,2,10001,0.1801650275988027,0.17865241384788075,0.1870090910458624,0.9553140590585927,0.09083882067486233,1.0084667971640726
2,dense_positive,2,2,10002,0.0163549949990511,0.01843324245605419,0.014852478661332897,1.2410886341849117,0.007138373771024005,0.8872554591544195
3,dense_positive,2,2,10003,0.2735323408140681,0.2836655098590391,0.2202710094426621,1.2878022876309512,0.13169958588454853,0.964277754281772
4,dense_positive,2,2,10004,0.2328837289032073,0.23286646133720873,0.27693989173163885,0.8408556090679118,0.11645049823460293,1.0000741522239802
5,dense_positive,2,2,10005,0.014070293286325716,0.014951810070439163,0.012877543715703106,1.161076242529595,0.006594388251106135,0.9410428048536899
6,dense_positive,2,2,10006,0.15429409586765874,0.15992797875281556,0.1360473978166317,1.1755313318698735,0.07433010649125096,0.9647723748584072
7,dense_positive,2,2,10007,7.24329441533308e-07,6.257109249181387e-07,1.397230783828046e-06,0.4478221723714495,4.114739790742386e-07,1.157610347986287
8,dense_positive,4,2,10008,0.2090309957092691,0.20625626223327367,0.2069652196608194,0.9965745093368461,0.10590286459263228,1.0134528447570588
9,dense_positive,4,2,10009,0.12483280959709754,0.08339380603363372,0.11720376130689188,0.7115284108952052,0.08313590658028068,1.49690745073742
10,dense_positive,4,2,10010,0.1394856284940364,0.09906842055630817,0.13108342697561048,0.7557661776323634,0.08995141821588232,1.4079726688966039
11,dense_positive,4,2,10011,0.13490634497609388,0.10777481816200961,0.1603456872529797,0.6721404236583658,0.08101893589508907,1.2517427287448497
12,dense_positive,4,2,10012,0.008703573806164154,0.006723863661185819,0.009791450410696319,0.6867076254443953,0.005341641975571245,1.294430441296187
13,dense_positive,4,2,10013,0.03180937336486247,0.023119895096361746,0.03153739408743998,0.7330946568464078,0.020249425816681595,1.3758441910001633
14,dense_positive,4,2,10014,0.13784275357120035,0.1273268081485866,0.15265440961537963,0.8340853596656188,0.07417934949690705,1.082590191142952
15,dense_positive,4,2,10015,0.10441364059629225,0.08968540058829462,0.1111522967509737,0.8068695223565767,0.059570940302144944,1.1642211542947594
16,dense_positive,8,4,10016,0.02748888985068001,0.02518180574570613,0.03133331005947636,0.8036752484147527,0.014897986977826946,1.091617103565628
17,dense_positive,8,4,10017,0.06018614830191495,0.04667362212054702,0.05940963599075997,0.7856237686392525,0.03684933724164144,1.2895109821660775
18,dense_positive,8,4,10018,0.0067845262831396505,0.004811187537233602,0.00640863489966265,0.7507351585104127,0.00437893251452285,1.4101562723619592
19,dense_positive,8,4,10019,0.0351543696708202,0.03053404980148344,0.03826165409799541,0.7980326653751012,0.01988734477007848,1.1513169690681613
20,dense_positive,8,4,10020,0.007175019293589963,0.005704642703742144,0.007341171249207776,0.7770752799640468,0.004322697941718891,1.257750864726949
21,dense_positive,8,4,10021,0.03860232185092372,0.02741731204527108,0.03528457270056541,0.7770339824699574,0.024893665828288183,1.407954280389854
22,dense_positive,8,4,10022,0.017993130157985864,0.015592176391891177,0.01888501659835948,0.8256374205805914,0.010197041962040274,1.1539845179883497
23,dense_positive,8,4,10023,0.02485831434289431,0.018950211389205402,0.024810388751539795,0.7638014695771063,0.015383208648291609,1.3117697651148281
24,dense_positive,16,8,10024,0.014811212735753988,0.012796292964705167,0.015935530806688494,0.8030038735411488,0.008413066253401404,1.157461209789928
25,dense_positive,16,8,10025,0.011275267361606119,0.00939534921700053,0.010948162573097673,0.8581667612506242,0.006577592753105854,1.2000902894810923
26,dense_positive,16,8,10026,0.009541399280564045,0.008407508604605969,0.009943896453478863,0.8454943838101421,0.005337644978261061,1.134866430625701
27,dense_positive,16,8,10027,0.013078449226330056,0.010736068736880561,0.012754623775623529,0.8417393508226559,0.007710414857889775,1.2181786039989615
28,dense_positive,16,8,10028,0.00843199455677587,0.006699382640677707,0.008010844677609172,0.8362891692811015,0.0050823032364370165,1.258622623759089
29,dense_positive,16,8,10029,0.008979750308055172,0.007260456014817843,0.0085774002357395,0.846463475560539,0.00534952230064625,1.236802521732578
30,dense_positive,16,8,10030,0.00767041157178261,0.006565506467080573,0.007904576381471426,0.8305956132539025,0.004387658338242324,1.1682893940082197
31,dense_positive,16,8,10031,0.00767808308485636,0.006333969754092888,0.007614674574551007,0.831810958180884,0.004511098207809917,1.2122070964887277
32,dense_positive,32,12,10032,0.008842824900963388,0.007633639743995933,0.00864911390972507,0.8825921156400384,0.005026005028965422,1.1584021774041031
33,dense_positive,32,12,10033,0.013427848175660168,0.012066077619786007,0.013604707257227322,0.8869046126204636,0.007394809365767164,1.1128594228203144
34,dense_positive,32,12,10034,0.00890522181908385,0.007775277948725602,0.00894699385745826,0.8690380336233372,0.00501758284472105,1.1453252060967738
35,dense_positive,32,12,10035,0.009241614265431618,0.008024182636609714,0.009102715403864595,0.8815152710588989,0.005229522947126761,1.1517203289052105
36,dense_positive,32,12,10036,0.005568013682497711,0.004934632855434669,0.005582704740974961,0.8839143541330984,0.003100697254780377,1.1283541948547358
37,dense_positive,32,12,10037,0.00854612158044714,0.007375551501061418,0.008352076168799275,0.8830800093291958,0.004858345829916431,1.1587094984310347
38,dense_positive,64,20,10038,0.007102299826863778,0.006557061574214373,0.0072150649634531265,0.9088014601986573,0.0038237690397565915,1.0831528340062495
39,dense_positive,64,20,10039,0.006061532338770308,0.005576169014789447,0.0060828252984583475,0.9167070795544122,0.0032734478313755848,1.0870424340965188
40,dense_positive,64,20,10040,0.005187818842695653,0.00476906416247764,0.005246145420170614,0.9090606112711495,0.0028032867614568332,1.087806468093409
41,dense_positive,64,20,10041,0.007457450053500114,0.0067432034148669105,0.007470245698192372,0.902674916903819,0.004085848346066659,1.105920968817059
42,dense_positive,128,32,10042,0.004683592534873201,0.004382136446810819,0.004670816561631471,0.938194936364656,0.002492524311467791,1.0687920359672443
43,dense_positive,128,32,10043,0.006246913295141485,0.005925157590717875,0.006313144243331556,0.9385430400986794,0.0032843344997825472,1.054303315902966
44,paper_scale_cycle_teleport,50,5,20050,0.02670453204783398,0.007241239700754724,0.03536950125843161,0.20473117921131306,0.02308391219745662,3.6878398107786263
45,paper_scale_cycle_teleport,100,20,20100,0.006174302057705219,0.0017813252000109666,0.008854210713183581,0.20118396294303698,0.0052836394576997354,3.4661285079598083
46,paper_scale_cycle_teleport,1000,100,21000,0.002371152932295684,0.0006434073013721356,0.0032168460135019515,0.20001184348631715,0.002049449281609616,3.685306223971882
47,tight_tabular,2,2,-1,0.5,0.4999999999999999,0.5,0.9999999999999998,0.25000000000000006,1.0000000000000002
